provider_id,sensor_family,venue_market,instrument_scope,access_mode,2021,2022,2024,2026,recent_status,earliest_verified_history,latest_verified_history,granularity_scope,PIT_readiness,unit_clarity,pagination_quality,schema_stability,semantic_equivalence_class,evidence_level,provider_role,capability_score,promotion_eligible,blocking_reason
COINALYZE,MECHANICAL_LIQUIDATION,COINALYZE,BTCUSDT_PERP.BINANCE,FREE_API_KEY,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNVERIFIED,,,1h,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CREDENTIAL_NOT_CONFIGURED (free key not configured locally)
COINALYZE,MECHANICAL_OPEN_INTEREST,COINALYZE,BTCUSDT_PERP.BINANCE,FREE_API_KEY,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNVERIFIED,,,1h,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CREDENTIAL_NOT_CONFIGURED (free key not configured locally)
COINALYZE,MECHANICAL_POSITIONING,COINALYZE,BTCUSDT_PERP.BINANCE,FREE_API_KEY,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNVERIFIED,,,1h,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CREDENTIAL_NOT_CONFIGURED (free key not configured locally)
DERIBIT,MECHANICAL_BOOK_SNAPSHOT,DERIBIT,BTC-PERPETUAL,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,VERIFIED,2026-08-30T13:55:12.240279Z,2026-08-30T13:55:12.240279Z,BOOK_SNAPSHOT,PIT_READY_WITH_METHOD_VERSION,,,,,E2_LIVE_RECENT_VERIFIED,REFERENCE_ONLY,,FALSE,
DERIBIT,MECHANICAL_FUNDING,DERIBIT,BTC-PERPETUAL,PUBLIC_REST,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,2021-06-15T00:00:00Z,2026-08-23T14:55:12.048205Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
DERIBIT,MECHANICAL_LIQUIDATION,DERIBIT,BTC-PERPETUAL,PUBLIC_REST,UNATTEMPTED,VERIFIED_LIMITED,UNATTEMPTED,UNATTEMPTED,VERIFIED,2026-08-23T14:55:11.833559Z,2026-08-23T14:55:11.833559Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E2_LIVE_RECENT_VERIFIED,REFERENCE_ONLY,,FALSE,
DERIBIT,MECHANICAL_TRADE,DERIBIT,BTC-PERPETUAL,PUBLIC_REST,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED,2026-08-30T13:55:11.474770Z,2026-08-30T13:55:11.474770Z,RAW_EVENT,PIT_READY_WITH_METHOD_VERSION,,,,,E2_LIVE_RECENT_VERIFIED,REFERENCE_ONLY,,FALSE,
GATE_FUTURES,MECHANICAL_BOOK_SNAPSHOT,GATE_FUTURES,BTC_USDT,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,VERIFIED_LIMITED,,,BOOK_SNAPSHOT,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CURRENT_ONLY surface (no historical window to verify)
GATE_FUTURES,MECHANICAL_FUNDING,GATE_FUTURES,BTC_USDT,PUBLIC_REST,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,VERIFIED,VERIFIED,2026-06-15T00:00:00Z,2026-08-23T15:44:40.901129Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E3_HISTORICAL_CHECKPOINT_VERIFIED,REFERENCE_ONLY,,FALSE,
GATE_FUTURES,MECHANICAL_LIQUIDATION,GATE_FUTURES,BTC_USDT,PUBLIC_REST,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,VERIFIED,VERIFIED,2026-06-15T00:00:00Z,2026-08-23T14:55:06.963000Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E3_HISTORICAL_CHECKPOINT_VERIFIED,REFERENCE_ONLY,,FALSE,
GATE_FUTURES,MECHANICAL_OPEN_INTEREST,GATE_FUTURES,BTC_USDT,PUBLIC_REST,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,VERIFIED,VERIFIED,2026-06-15T00:00:00Z,2026-08-23T14:55:05.522441Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E3_HISTORICAL_CHECKPOINT_VERIFIED,REFERENCE_ONLY,,FALSE,
GATE_FUTURES,MECHANICAL_POSITIONING,GATE_FUTURES,BTC_USDT,PUBLIC_REST,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,HISTORY_BLOCKED_BY_VERIFIED_RETENTION_BOUNDARY,VERIFIED,VERIFIED,2026-06-15T00:00:00Z,2026-08-23T14:55:07.337755Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E3_HISTORICAL_CHECKPOINT_VERIFIED,REFERENCE_ONLY,,FALSE,
GATE_FUTURES,MECHANICAL_TRADE,GATE_FUTURES,BTC_USDT,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,VERIFIED,2026-08-30T14:44:41.802606Z,2026-08-30T14:44:41.802606Z,RAW_EVENT,NOT_PIT_READY,,,,,E2_LIVE_RECENT_VERIFIED,REFERENCE_ONLY,,FALSE,
KRAKEN_FUTURES,MECHANICAL_BASIS,KRAKEN_FUTURES,PI_XBTUSD,PUBLIC_REST,VERIFIED_LIMITED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,2022-06-15T00:00:00Z,2026-08-23T14:55:04.725011Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
KRAKEN_FUTURES,MECHANICAL_BOOK_METRIC,KRAKEN_FUTURES,PI_XBTUSD,PUBLIC_REST,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED,VERIFIED,VERIFIED,2024-06-15T00:00:00Z,2026-08-23T14:55:05.140795Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
KRAKEN_FUTURES,MECHANICAL_BOOK_SNAPSHOT,KRAKEN_FUTURES,PI_XBTUSD,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,TRANSIENT_FAILURE,,,BOOK_SNAPSHOT,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CURRENT_ONLY surface (no historical window to verify)
KRAKEN_FUTURES,MECHANICAL_FUNDING,KRAKEN_FUTURES,PI_XBTUSD,PUBLIC_REST,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED,VERIFIED,2026-06-15T00:00:00Z,2026-08-23T14:55:04.309346Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E3_HISTORICAL_CHECKPOINT_VERIFIED,REFERENCE_ONLY,,FALSE,
KRAKEN_FUTURES,MECHANICAL_LIQUIDATION,KRAKEN_FUTURES,PI_XBTUSD,PUBLIC_REST,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,2021-06-15T00:00:00Z,2026-08-23T15:39:15.749985Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
KRAKEN_FUTURES,MECHANICAL_OPEN_INTEREST,KRAKEN_FUTURES,PI_ETHUSD|PI_XBTUSD,PUBLIC_REST,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED,VERIFIED,VERIFIED,2024-06-15T00:00:00Z,2026-08-23T14:55:03.925948Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
KRAKEN_FUTURES,MECHANICAL_POSITIONING,KRAKEN_FUTURES,PI_XBTUSD,PUBLIC_REST,VERIFIED_LIMITED,VERIFIED_LIMITED,VERIFIED,VERIFIED,VERIFIED,2024-06-15T00:00:00Z,2026-08-23T14:55:05.009310Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
KRAKEN_FUTURES,MECHANICAL_TRADE,KRAKEN_FUTURES,PI_XBTUSD,PUBLIC_REST,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,TRANSIENT_FAILURE,,,RAW_EVENT,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,no live verified sample yet (E0/UNVERIFIED or blocked)
OKX_SWAP,MECHANICAL_BOOK_SNAPSHOT,OKX_SWAP,BTC-USDT-SWAP,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,VERIFIED,2026-08-30T13:55:11.250844Z,2026-08-30T13:55:11.250844Z,BOOK_SNAPSHOT,PIT_READY_WITH_METHOD_VERSION,,,,,E2_LIVE_RECENT_VERIFIED,REFERENCE_ONLY,,FALSE,
OKX_SWAP,MECHANICAL_FUNDING,OKX_SWAP,BTC-USDT-SWAP,PUBLIC_REST,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,2021-06-15T00:00:00Z,2026-08-23T14:55:10.584064Z,1h,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
OKX_SWAP,MECHANICAL_TRADE,OKX_SWAP,BTC-USDT-SWAP,PUBLIC_REST,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,2021-06-15T00:00:00Z,2026-08-30T13:55:11.053007Z,RAW_EVENT,PIT_READY_WITH_METHOD_VERSION,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
