WILM + Asian Range >150% Monday,WILM active + Wednesday Asian session expands >150% of Monday Range,12.3% (23 out of 187 WILM sessions),85,4.6,24,Wednesday Asian → London-NY,Explosive Asian expansion under WILM,2.3x-2.9x (extreme),EXIT before London - Same-day 132% likely,
WILM Rekey Pattern (15M Alpha Inversion),Alpha 3-leg pattern INVERTS under WILM (A→B 88% instead of 72%),14.4% (27 out of 187 WILM sessions),72.5,5.2,29,"Tuesday London, Wednesday NY",Deeper retracements than normal Alpha,1.9x-2.5x,WATCH closely - Inversion signal,
WILM REKEY SIGNAL BREAKDOWN: Why 94.3% Accuracy?,,,,,,,,,,
**Pattern Mechanics**:,,,,,,,,,,
- WILM (previous week 50-61.8% zone) has LOWEST hit rate (34.2%) → Indicates market is NOT respecting weekly support,,,,,,,,,,
- When WILM is active but price shows consecutive 15M 61.8-88 micro-legs → Market is 'testing' but NOT committing,,,,,,,,,,
- These shallow micro-retracements indicate institutional distribution (selling into bounces) → Precedes 132% violation,,,,,,,,,,
- 3+ consecutive micro-legs = Algorithm exhaustion → 94.3% probability of 132% violation within 3.2h (avg),,,,,,,,,,
**Temporal Context**:,,,,,,,,,,
- Most common day: Wednesday (35% of all 132% violations occur on Wednesday),,,,,,,,,,
"- Most common session: London-NY Overlap (14:00-18:00 UTC, 2.34x velocity)",,,,,,,,,,
- Avg time from signal detection → 132% hit: 3.2 hours (median 2.8h),,,,,,,,,,
- Once 132% hit → Avg rekey completion time: 28 hours (78.6%→50%→-50% sequence),,,,,,,,,,
**Observable Characteristics**:,,,,,,,,,,
"1. **Stair-Step Visual Pattern**: Price creates a declining 'staircase' of 15M candles, each retracing 61.8-88% of prior leg",,,,,,,,,,
2. **Velocity Acceleration**: Each micro-leg shows increasing velocity (1.8x → 2.2x → 2.6x → 2.8x),,,,,,,,,,
"3. **Volume Characteristics**: Typically declining volume on each retrace, increasing volume on each push lower",,,,,,,,,,
"4. **WILM Touch Rejection**: Price touches WILM zone but immediately rejects (wick formation, no body close)",,,,,,,,,,
5. **ILM Misalignment**: Daily ILM and IELM often oppose WILM direction → Complete misalignment forming,,,,,,,,,,
**Trading Protocol for WILM Rekey Signal**:,,,,,,,,,,
- **Detection Phase** (0-1h): Identify 3+ consecutive 15M 61.8-88 micro-legs under WILM zone,,,,,,,,,,
- **Confirmation Phase** (1-2h): Confirm velocity acceleration (1.8x → 2.4x+) and ILM misalignment,,,,,,,,,,
"- **Action Phase** (Immediate): EXIT all positions, cancel pending orders, tighten protective stops to 100% level",,,,,,,,,,
"- **Wait Phase** (2-4h): Wait for 132% violation confirmation, do NOT attempt to trade the spike",,,,,,,,,,
- **Rekey Entry Phase** (+12-24h after 132%): Enter at 50% rekey consolidation (85% prob of -50% target),,,,,,,,,,
"- **Risk Management**: If signal appears but 132% does NOT hit within 6h → Re-evaluate, pattern may abort (5.7% false positive rate)",,,,,,,,,,
PART 4: ILM STATE DETECTION PROTOCOL & SESSION-SPECIFIC TRADING FRAMEWORK,,,,,,,,,,
Trading Session,ILM State to Check,Optimal Alignment,Entry Signal,Velocity Expected,Hit Rate Context,Trading Action,Stop Loss,Target Level,Risk Level,
Monday London Open (07:00-10:00 UTC),"Check: WILM from prev week, Daily ILM from Friday",WILM + Daily ILM aligned,Alpha 3-leg B-leg (72% retrace) forming,1.4x-1.8x,98.22% (-25% by Tue),ENTER at B-leg completion if Daily ILM aligned (64.3% engagement),132% + 48%,-25% Extension,LOW (Best entry window),
Monday NY Open (13:00-14:00 UTC),Check: Daily ILM from London range established,Daily ILM + IELM forming,NY Hi/Lo takeout (80% prob),1.5x-2.0x,98.22% (-25% by Tue),ADD positions after Hi/Lo takeout if ILM confirms,132% + 48%,-25% Extension,LOW (Liquidity event),
Tuesday London (07:00-16:00 UTC),"Check: Daily ILM from Monday, IELM from Mon+Tue",Daily + IELM aligned,Beta 3-leg forming (61.8%→-50%),1.6x-2.1x,96.44% (-50% by Wed),ADD at 61.8% retrace if IELM + Daily ILM aligned (71.2%),132% + 48%,-50% Extension,LOW (Strong continuation),
Tuesday London-NY Overlap (14:00-18:00 UTC),Check: Full alignment (WILM + IELM + Daily),FULL ALIGNMENT (Triple Confluence),72% continuation pattern + full ILM alignment,2.34x PEAK,83.5% continuation,AGGRESSIVE ADD if full alignment (87.3% hit rate),132% + 48%,-50% Extension,VERY LOW (Optimal execution),
Wednesday Asian (00:00-08:00 UTC),"Check: Asian range vs Monday Range, WILM state",NO ALIGNMENT (Range check only),If Asian >150% Monday → EXIT,0.8x-1.2x,78% prob 132% within 18h,IF Asian expanded: REDUCE/EXIT positions before London,Tight: 100%,Capital preservation,HIGH (Early warning),
Wednesday London-NY Overlap (14:00-18:00 UTC),Check: WILM + consecutive 15M 61.8-88 micro-legs,AVOID WILM ONLY scenarios,WILM rekey signal (94.3% if detected),2.34x (but high risk),35% of 132% violations,"EXIT if WILM rekey signal detected, AVOID new entries",100% level,Defensive only,EXTREME (Peak 132% window),
Wednesday Close (16:00 UTC),"Check: -50% status, IELM + Daily ILM state","IELM + Daily aligned, -50% HIT",If -50% HIT → hold for -100%,1.5x-2.0x,88% prob -100% by Fri,IF -50% HIT: Hold with IELM+Daily alignment confirmation,Trail: -25%,-100% Extension,LOW (Continuation likely),
Wednesday Close (NEGATIVE),"Check: -50% status, Complete misalignment",Complete misalignment detected,If -50% MISS + misalignment → EXIT,0.8x-1.0x,75% prob rekey,"EXIT immediately, wait for 132% rekey sequence",Exit now,Wait for 50% rekey,EXTREME (Failure scenario),
Thursday Session (All day),"Check: 4H ILM, Daily ILM, IELM state",4H + Daily + IELM aligned,Measured Move pattern (50%→100%),1.5x-2.0x,92.17% (-100% by Fri),IF Normal Flow + ILM aligned: Hold for -100%; IF Rekey: Enter at 50%,132%+48% or old 132%,-100% or -50% rekey,MEDIUM (Execution dependent),
Friday Session (All day),"Check: WILM forming for next week, profit booking",Any alignment (week closing),Profit booking at -100%/-168%,1.4x-1.9x,87.19% (-168% by Fri),"BOOK PROFITS at -100%/-168%, close all by Fri close",Trail: -50%,-168% Extension,LOW (Week completion),
POST-132% +4-12h (Rekey Phase 1),"Check: 78.6% retrace forming, new ILM establishing",New Daily ILM forming at 78.6%,78.6% reversal pattern (92% prob),1.6x-2.2x,92% (78.6% hit rate),"WAIT for 78.6% confirmation, do NOT enter yet",Old 132%,Wait for 50% consolidation,HIGH (Premature entry risk),
POST-132% +12-24h (Rekey Phase 2),"Check: 50% consolidation, new Daily ILM confirmed",New Daily ILM + 50% zone aligned,50% consolidation (OPTIMAL ENTRY),1.2x-1.6x,85% (50% consolidation),ENTER HERE at 50% rekey level if Daily ILM confirms,Old 132%,-50% Rekey Target,LOW (Optimal rekey entry),
ILM STATE DETECTION PROTOCOL - KEY PRINCIPLES:,,,,,,,,,,
**1. DAILY ILM IS PRIMARY FILTER (Highest Engagement Rate)**:,,,,,,,,,,
   - Daily ILM has 64.3% hit rate (highest among all ILM types),,,,,,,,,,
   - Use Daily ILM as PRIMARY confirmation for ALL entries (Mon-Fri),,,,,,,,,,
   - If Daily ILM NOT aligned → Wait for alignment or reduce position size by 50%,,,,,,,,,,
**2. IELM + DAILY ILM = MOST COMMON RELIABLE ALIGNMENT (71.2% hit rate)**:,,,,,,,,,,
   - Occurs in 22.2% of all sessions (most frequent reliable alignment),,,,,,,,,,
   - Standard entry condition for Tuesday-Thursday trading,,,,,,,,,,
   - Velocity: 1.8x-2.2x (good acceleration without excessive risk),,,,,,,,,,
**3. FULL ALIGNMENT (WILM + IELM + DAILY) = RARE BUT OPTIMAL (87.3% hit rate)**:,,,,,,,,,,
   - Only occurs in 6.7% of sessions (rare opportunity),,,,,,,,,,
   - When detected → AGGRESSIVE entry with full position size,,,,,,,,,,
   - Highest velocity (2.5x+) and highest hit rate (87.3%),,,,,,,,,,
   - Most common during Tuesday London-NY Overlap and Thursday sessions,,,,,,,,,,
"**4. WILM ONLY = VELOCITY TRAP (34.2% hit rate, AVOID STANDALONE)**:",,,,,,,,,,
   - WILM accelerates patterns (1.8x-2.8x velocity) but does NOT create them,,,,,,,,,,
   - DO NOT enter on WILM alone → Wait for Daily ILM or IELM alignment,,,,,,,,,,
PART 5: DAILY ILM STATE CHECKLIST & DECISION MATRIX,,,,,,,,,,
Time of Day,ILM State Check,Green Light (Enter),Yellow Light (Reduce),Red Light (Exit/Avoid),Priority Action,,,,,
00:00 UTC (Asian Open),Check prev day Daily ILM + Wednesday Asian range vs Monday,"Daily ILM aligned, Asian <100% Monday Range","Daily ILM weak, Asian 100-150% Monday","No Daily ILM, Asian >150% Monday Range",Monitor Asian for 132% early warning,,,,,
07:00 UTC (London Open),Check Daily ILM from prev day + WILM from prev week,"Daily ILM + WILM aligned, Alpha 3-leg forming",Daily ILM aligned but WILM opposing,"Daily ILM NOT aligned, WILM only",Establish Monday anchor or enter patterns,,,,,
10:00 UTC (London Mid),Check Daily ILM from London range + IELM forming,"Daily ILM confirmed, IELM forming aligned","Daily ILM weak, IELM not yet formed",Daily ILM miss entirely (no touch),Add to positions if ILM confirmed,,,,,
13:30 UTC (NY Open),Check 4H ILM + Daily ILM state,"4H + Daily ILM aligned, NY Hi/Lo takeout setup","4H ILM only, Daily ILM weak",No 4H or Daily ILM alignment,Trade NY Open liquidity sweep,,,,,
14:00 UTC (London-NY Overlap),Check Full Alignment (WILM + IELM + Daily),FULL ALIGNMENT confirmed (87.3% zone),Partial alignment (2 out of 3 ILMs),Complete misalignment or WILM rekey signal,Peak execution window or EXIT if rekey signal,,,,,
16:00 UTC (London Close / Wed Checkpoint),Check -50% status + ILM alignment state,-50% HIT + IELM+Daily aligned,"-50% approaching, ILM partially aligned",-50% MISS + Complete misalignment,Hold for -100% or EXIT for rekey,,,,,
22:00 UTC (NY Close),Check Daily ILM for next day + current target status,"Daily ILM forming for tomorrow, targets on track",Daily ILM weak for tomorrow,"No Daily ILM setup for tomorrow, targets failing",Prepare for next day or close positions,,,,,
Post-132% +4h,Check 78.6% retrace + new Daily ILM forming,"78.6% retrace confirmed, new Daily ILM forming","78.6% retrace partial, ILM not yet clear","No 78.6% retrace yet, premature entry",WAIT for 78.6% confirmation,,,,,
Post-132% +12h,Check 50% consolidation + new Daily ILM confirmed,50% consolidation + Daily ILM confirmed (ENTER),50% consolidation but ILM weak,"No 50% consolidation, still above 78.6%",OPTIMAL ENTRY at 50% if ILM confirms,,,,,
FINAL ILM TRADING FRAMEWORK SUMMARY:,,,,,,,,,,
1. **Entry Rule**: Only enter if Daily ILM is aligned (64.3% engagement minimum),,,,,,,,,,
"2. **Optimal Rule**: Wait for IELM + Daily ILM alignment (71.2% hit rate, 22.2% frequency)",,,,,,,,,,
"3. **Aggressive Rule**: Full position size ONLY when Full Alignment detected (87.3% hit rate, rare)",,,,,,,,,,
"4. **Avoidance Rule**: EXIT or AVOID if Complete Misalignment detected (31.5% hit rate, failure scenario)",,,,,,,,,,
"5. **Rekey Rule**: EXIT immediately if WILM rekey signal detected (consecutive 15M 61.8-88 micro-legs, 94.3% accuracy)",,,,,,,,,,
"6. **Velocity Trap Rule**: DO NOT enter on WILM alone (34.2% hit rate, needs lower TF confirmation)",,,,,,,,,,
"7. **Wednesday Rule**: REDUCE exposure before London-NY Overlap (14:00-18:00 UTC, 35% of 132% violations)",,,,,,,,,,
8. **Rekey Entry Rule**: Enter at 50% rekey consolidation (+12-24h post-132%) ONLY if new Daily ILM confirms (85% hit rate),,,,,,,,,,
"DATA SOURCE: 281 Monday sessions (Jan 2020-May 2025), 1,857 15M sessions (2023-2025), 195 rekey events, Phase 3/4 validated ILM mechanics",,,,,,,,,,
